ISO 3166-1 country code, name, latitude, longitude
MX,Tacahua,16.917972,-97.49187
MX,Mixtepec,16.793198,-96.879731
MX,Mitlatongo,17.18601,-97.279002
MX,Yosonotu,17.020297,-97.661814
MX,Etla,17.203664,-96.816078
MX,Peñasco,17.235344,-97.551117
MX,Ocotlán,16.709222,-96.710548
MX,Mixtepec,16.897224,-96.906508
MX,Nejapa,16.60807,-95.980337
MX,Tlacotepec,16.504161,-95.202482
MX,Juchitán,16.436032,-95.01975
MX,Huazantlán del Río,16.219443,-95.128616
MX,Tlacolulita,16.300104,-95.726563
MX,Ixtaltepec,16.503119,-95.060758
MX,Amatlán,18.845746,-96.914942
MX,Acatlán,18.539125,-96.606006
MX,Tepanco,18.554997,-97.56171
MX,Miahuatlán,18.545237,-97.437465
MX,Techachalco,18.953301,-97.46982
MX,Santa María,18.59965,-97.658349
MX,Santa Inés,19.154332,-97.38829
MX,Santa Inés,19.004148,-97.491313
MX,Otzolotepec,18.577007,-97.266194
MX,Chicapa,16.438443,-94.822058
MX,Cerrito,16.400154,-94.530472
MX,Santa Catarina,18.881986,-97.43655
MX,San Nicolás,19.164916,-97.55105
MX,Zozutla,18.755009,-97.654248
MX,Tecuitlapa,19.122032,-97.547399
MX,San Martín,19.004701,-97.39578
MX,Tlacoyalco,18.673125,-97.603237
MX,Temalacayuca,18.603522,-97.557171
MX,Atenco,19.086743,-97.540136
MX,Tlacuitlapan,18.708649,-97.620989
MX,Ixtapa,18.715838,-97.457836
MX,Alchichica,19.434268,-97.388719
MX,Tepetiopan,18.532223,-97.52737
MX,Lagunas,18.604186,-97.265398
MX,Tenejapa,18.785652,-97.086019
MX,Cacaloapan,18.582783,-97.584944
MX,Palmarito,18.898912,-97.638922
MX,Palmar,18.835633,-97.547739
MX,Morelos,18.736839,-97.419069
MX,Jalapasco,19.095881,-97.482535
MX,Guadalupe,18.916858,-97.385765
MX,San Rafael,18.940863,-96.943307
MX,Atitla,18.736818,-96.869157
MX,Atitla,18.718402,-96.821411
MX,Ojitlán,18.061493,-96.398228
MX,Quiotepec,17.601517,-96.588274
MX,Luvina,17.50495,-96.54958
MX,Valle Nacional,17.775523,-96.302629
MX,Tuxtepec,18.088293,-96.129815
MX,Tlacoatzintepec,17.860236,-96.586239
MX,Chiltepec,17.948017,-96.170099
MX,Ahuatepec,19.040483,-97.434324
MX,Santiago,16.803814,-96.720459
MX,Lachixío,16.705142,-97.018615
MX,Coatlán,16.38898,-96.845847
MX,Mazaltepec,17.172464,-96.873475
MX,Mixtla,18.605529,-96.993778
MX,Ejutla,16.567918,-96.73129
MX,Cuilapan,16.978093,-96.781372
MX,Chalcatongo,17.031691,-97.570491
MX,Quetzalapa,17.836306,-96.632883
MX,Jocotepec,17.536011,-95.944862
MX,Comaltepec,17.565469,-96.548731
MX,Jalapa de Díaz,18.071602,-96.535183
MX,Ayautla,18.03235,-96.67002
MX,Analco,17.83995,-96.557203
MX,Teotilalpan,17.954346,-96.656113
MX,Tamextitlán,17.593574,-96.551256
MX,Yolotepec,16.870286,-97.50185
MX,Sola,16.49248,-96.982501
MX,Tlaltinango,17.240075,-96.846695
MX,Ixcatlán,16.912881,-97.532457
MX,Huendio,17.254489,-97.50468
MX,La Balsa,18.69656,-96.611058
MX,Yutanino,16.790247,-97.464227
MX,Río Dulce,16.812241,-97.099439
MX,Jalpan,16.971639,-96.756989
MX,Etla,17.205002,-96.798335
MX,Teozacoalco,17.016046,-97.286621
MX,Molinos,17.10381,-97.538811
MX,Ixtlahuaca,17.061751,-96.81729
MX,Tlazoyaltepec,17.036663,-96.983764
MX,Suchilquitongo,17.255879,-96.880331
MX,Ticuá,17.073688,-97.537848
MX,Quiané,16.88255,-96.74067
MX,Montaño,17.087642,-96.805383
MX,Mixtepec,16.892881,-96.936518
MX,Tomate,17.733407,-95.872241
MX,Ocotlán,16.761945,-96.721374
MX,Mixtepec,16.866782,-96.965098
MX,Minas,16.424523,-97.228147
MX,Clavellinas,16.920082,-96.930778
MX,Amoltepec,16.642343,-97.496165
MX,Chichihualtepec,16.651287,-96.775864
MX,Coatlán,16.299053,-96.774173
